motif_index_0based,motif_id,motif_title,motif_gloss,description_present,tradition_frequency,tradition_prevalence
634,f94_10,Rival wives in the sky,"A man gets to the sky where he has a choice to marry one of two women, one of them being connected with life and another with death",True,8,0.008639308855291577
635,f95_10,Wife of one of two brothers,"Two companions or brothers live together. One has a wife which he conceals. Another suspects her existence, destroys her or tries to get a wife also for himself",True,10,0.01079913606911447
636,f96_10,Ugly man becomes handsome,"A girl rejects an ugly youth, men also do not like him. A powerful supernatural makes him handsome while those who were evil to him are punished",True,16,0.017278617710583154
637,f97_5,The prohibited fruit: origin of sex,"After eating certain fruit, berry, tuber, etc. people become sexually aware",True,27,0.029157667386609073
638,f98_5,God and a cow,Anthropomorphic god descends from the sky and copulates with a cow,True,6,0.0064794816414686825
639,f99_5,A baby copulates with his mother,"A baby son turns into an adult man, copulates with his mother, then acquires his baby guise",True,8,0.008639308855291577
640,f100_11,Test of chastity (a queen and a servant girl) ,"A magic medicine demonstrates that the only chaste woman is a servant girl, orphan, etc. King chooses the chaste one",True,4,0.004319654427645789
641,g1_3,A kidnapped child,"Valuables (earth, soil, sun, crops, fire, sacred knowledge, hunting luck) are got or returned when son or daughter is stolen from his or her parent",True,27,0.029157667386609073
642,g3_6,A rock of crops,Cultivated plants or fertile soil to plant them are hidden inside a rock. Birds or Thunders get them destroying the rock,True,14,0.01511879049676026
643,g4_6,A food mountain,Cultivated plants are found above or inside a mountain,True,14,0.01511879049676026
644,g5_6,Food tree,Fruits and shoots of different cultivated plants grow on the branches of one tree or certain plant has a tree form that is alien to it in nature,True,49,0.052915766738660906
645,g6_6,Primeval tree,"One of the trees is the principal, original one (emerged before all the other; ancestor of wild or cultivated plants; ocean or rivers inside it; world axis; higher than all the others; overshadows sky)",True,133,0.14362850971922247
646,g6a_3,g6a_3,,False,8,0.008639308855291577
647,g7_10,Blunt axes,Ancestors need to fell a gigantic tree or a vertical rock. Their axes become blunt or break and/or they are in search of a proper axe to cope with their work. Usually they are cutting the tree with different cultivated plants on its branches,True,17,0.0183585313174946
648,g8_10,Restored tree,A deep notch in the tree (or in the sky support) is magically restored as soon as persons or creatures who cut or gnaw it stop working,True,110,0.11879049676025918
649,g8a_10,Cutting tree to make a canoe,"To make some object (usually a canoe), person cuts a tree, goes away, returns, finds the tree intact. Usually another person who was restoring the tree by magic fells it down himself and makes a canoe for the hero",True,20,0.02159827213822894
650,g8b_10,Cutting tree to get a person,Person hides in a tree. Somebody tries to fell it but the notch disappears and the tree becomes intact,True,44,0.047516198704103674
651,g8c_10,Cutting tree to get valuables,(Animal-)people try to fell a tree that contains water and fish or has cultivated plants on its branches. The notch disappears and the tree becomes intact,True,22,0.023758099352051837
652,g8d_3,Falling or growing up of a tree is dangerous to the world,"To save the world (gods, king, etc.) certain persons or creatures try to cut or gnaw a tree (post, mountain) or do not permit the others to do. The notch disappears and the tree (post, etc.) becomes intact",True,17,0.0183585313174946
653,g8e_2,Cutting the Moon tree,Person tries to cut down the tree in the Moon but the notch disappears and the tree becomes intact,True,7,0.00755939524838013
654,g8f_10,Chips destroyed,A deep notch in the tree is magically restored when persons or creatures who cut it go away to take a rest. They get to fell the tree after they begin to burn the cut off chips or to carry them far way,True,11,0.011879049676025918
655,g9_10,Restored forest,"People break ground or fell trees. In the morning, the ground or forest are intact again",True,36,0.038876889848812095
656,g9a_3,Restored forest and flood,"A man fells trees to clear ground for a garden. Certain person or animal revives vegetation and after being surprised by the man, warns him about the coming flood, tells to prepare a boat",True,12,0.012958963282937365
657,g10_10,The hanging tree,A tree which trunk is cut through do not fall because it is hold from above,True,28,0.03023758099352052
658,g11_7,Squirrel the woodcutter,A squirrel plays crucial role in felling the gigantic tree,True,20,0.02159827213822894
659,g12_3,Tree is a person,A giant tree (often with water inside it or with different cultivated plants on its branches) grows out of the human body or is transformed person,True,4,0.004319654427645789
660,g12a_6,Plants from drops of blood,Cultivated plants emerge from drops of blood or spill from cuts on the body of a person,True,3,0.0032397408207343412
661,g12b_6,Star-person gives plants,Star-person is a giver of cultivated plants,True,14,0.01511879049676026
662,g12c_6,Fox brings plants from the sky,Fox or coyote returns from the sky and disperses seeds or shoots unknown on earth before,True,5,0.005399568034557235
663,g13_6,People ate rotten wood,"Before acquisition of cultivated plants people ate rotten or soft (Ceiba L., Ochroma Sw.) wood; some people eat rotten wood",True,17,0.0183585313174946
664,g13a_6,People ate dirt,"Before acquisition of cultivated plants people ate dirt, mud or stones",True,16,0.017278617710583154
665,g13b_6,People ate fungi,Before acquisition of cultivated plants people ate fungi,True,8,0.008639308855291577
666,g14_6,Swallowed man returns with plants,A man is swallowed by a water monster and comes out from its belly in the land of the supernatural beings. He receives from them cultivated plants and brings them to people,True,3,0.0032397408207343412
667,g15_6,Plant maidens,In the other world or in the time of the ancestors food products or materials used by people looked as persons,True,24,0.02591792656587473
